sample,lat_dd,lon_dd,temp_C,notes
1,30.61482,96.34095,21.3,grass1
2,30.61484,96.34094,21.7,grass1
3,30.61484,96.34094,22.3,grass1
4,30.61485,96.34097,22.7,grass1
5,30.61486,96.34098,22.5,grass1
6,30.61467,96.34103,22.6,grass2
7,30.61468,96.34105,21.8,grass2
8,30.61466,96.34106,21.6,grass2
9,30.61471,96.34107,22.7,grass2
10,30.61472,96.34105,22.2,grass2
11,30.61484,96.34105,21.5,grass3
12,30.61488,96.34109,21.1,grass3
13,30.6149,96.3411,21.2,grass3
14,30.61495,96.34105,20.2,grass3
15,30.61493,96.34124,21.2,grass3
16,30.61489,96.34126,20.2,grass4
17,30.61489,96.34132,20.8,grass4
18,30.61487,96.34127,20.7,grass4
19,30.61483,96.34134,21,grass4
20,30.61486,96.34131,21.3,grass4
21,30.61493,96.34145,20.8,grass5
22,30.61478,96.34156,20.7,grass5
23,30.61481,96.34142,20.8,grass5
24,30.61485,96.34147,20.6,grass5
25,30.61502,96.34138,20.3,grass5
26,30.61506,96.34114,23.7,grass6
27,30.61508,96.34115,23.3,grass6
28,30.61506,96.34116,22.7,grass6
29,30.61505,96.34114,23,grass6
30,30.61503,96.34115,22.4,grass6
